ticker,event_ticker,title,status,result,strike,volume,close_time,expiration_time
KXBTC15M-25DEC151915-15,KXBTC15M-25DEC151915,"BTC price up in next 15 mins?",finalized,no,86412,2169,2025-12-16T00:15:00Z,2025-12-23T00:15:00Z
KXBTC15M-25DEC151900-00,KXBTC15M-25DEC151900,"BTC price up in next 15 mins?",finalized,no,86435,1419,2025-12-16T00:00:00Z,2025-12-23T00:00:00Z
KXBTC15M-25DEC151845-45,KXBTC15M-25DEC151845,"BTC price up in next 15 mins?",finalized,yes,86188,1,2025-12-15T23:45:00Z,2025-12-22T23:45:00Z
KXBTC15M-25DEC151830-30,KXBTC15M-25DEC151830,"BTC price up in next 15 mins?",finalized,no,86416,42,2025-12-15T23:30:00Z,2025-12-22T23:30:00Z
KXBTC15M-25DEC151815-15,KXBTC15M-25DEC151815,"BTC price up in next 15 mins?",finalized,yes,86214,2052,2025-12-15T23:15:00Z,2025-12-22T23:15:00Z
KXBTC15M-25DEC151800-00,KXBTC15M-25DEC151800,"BTC price up in next 15 mins?",finalized,yes,86011,416,2025-12-15T23:00:00Z,2025-12-22T23:00:00Z
KXBTC15M-25DEC151745-45,KXBTC15M-25DEC151745,"BTC price up in next 15 mins?",finalized,yes,85983,1004,2025-12-15T22:45:00Z,2025-12-22T22:45:00Z
KXBTC15M-25DEC151730-30,KXBTC15M-25DEC151730,"BTC price up in next 15 mins?",finalized,no,86019,3011,2025-12-15T22:30:00Z,2025-12-22T22:30:00Z
KXBTC15M-25DEC151715-15,KXBTC15M-25DEC151715,"BTC price up in next 15 mins?",finalized,no,86208,432,2025-12-15T22:15:00Z,2025-12-22T22:15:00Z
KXBTC15M-25DEC151700-00,KXBTC15M-25DEC151700,"BTC price up in next 15 mins?",finalized,yes,86022,1147,2025-12-15T22:00:00Z,2025-12-22T22:00:00Z
KXBTC15M-25DEC151645-45,KXBTC15M-25DEC151645,"BTC price up in next 15 mins?",finalized,no,86077,1148,2025-12-15T21:45:00Z,2025-12-22T21:45:00Z
KXBTC15M-25DEC151630-30,KXBTC15M-25DEC151630,"BTC price up in next 15 mins?",finalized,yes,85587,390,2025-12-15T21:30:00Z,2025-12-22T21:30:00Z
KXBTC15M-25DEC151615-15,KXBTC15M-25DEC151615,"BTC price up in next 15 mins?",finalized,no,85850,604,2025-12-15T21:15:00Z,2025-12-22T21:15:00Z
KXBTC15M-25DEC151600-00,KXBTC15M-25DEC151600,"BTC price up in next 15 mins?",finalized,no,85922,552,2025-12-15T21:00:00Z,2025-12-22T21:00:00Z
KXBTC15M-25DEC151545-45,KXBTC15M-25DEC151545,"BTC price up in next 15 mins?",finalized,yes,85743,251,2025-12-15T20:45:00Z,2025-12-22T20:45:00Z
KXBTC15M-25DEC151530-30,KXBTC15M-25DEC151530,"BTC price up in next 15 mins?",finalized,no,85778,544,2025-12-15T20:30:00Z,2025-12-22T20:30:00Z
KXBTC15M-25DEC151515-15,KXBTC15M-25DEC151515,"BTC price up in next 15 mins?",finalized,no,,610,2025-12-15T20:15:00Z,2025-12-22T20:15:00Z
KXBTC15M-25DEC151500-00,KXBTC15M-25DEC151500,"BTC price up in next 15 mins?",finalized,no,,542,2025-12-15T20:00:00Z,2025-12-22T20:00:00Z
KXBTC15M-25DEC151445-45,KXBTC15M-25DEC151445,"BTC price up in next 15 mins?",finalized,yes,,1002,2025-12-15T19:45:00Z,2025-12-22T19:45:00Z
KXBTC15M-25DEC151430-30,KXBTC15M-25DEC151430,"BTC price up in next 15 mins?",finalized,yes,,206,2025-12-15T19:30:00Z,2025-12-22T19:30:00Z
KXBTC15M-25DEC151415-15,KXBTC15M-25DEC151415,"BTC price up in next 15 mins?",finalized,no,,235,2025-12-15T19:15:00Z,2025-12-22T19:15:00Z
KXBTC15M-25DEC151400-00,KXBTC15M-25DEC151400,"BTC price up in next 15 mins?",finalized,yes,,271,2025-12-15T19:00:00Z,2025-12-22T19:00:00Z
KXBTC15M-25DEC151345-45,KXBTC15M-25DEC151345,"BTC price up in next 15 mins?",finalized,yes,,420,2025-12-15T18:45:00Z,2025-12-22T18:45:00Z
KXBTC15M-25DEC151330-30,KXBTC15M-25DEC151330,"BTC price up in next 15 mins?",finalized,no,,314,2025-12-15T18:30:00Z,2025-12-22T18:30:00Z
KXBTC15M-25DEC151315-15,KXBTC15M-25DEC151315,"BTC price up in next 15 mins?",finalized,yes,,1626,2025-12-15T18:15:00Z,2025-12-22T18:15:00Z
KXBTC15M-25DEC151300-00,KXBTC15M-25DEC151300,"BTC price up in next 15 mins?",finalized,no,,43,2025-12-15T18:00:00Z,2025-12-22T18:00:00Z
KXBTC15M-25DEC151245-45,KXBTC15M-25DEC151245,"BTC price up in next 15 mins?",finalized,no,,418,2025-12-15T17:45:00Z,2025-12-22T17:45:00Z
KXBTC15M-25DEC151230-30,KXBTC15M-25DEC151230,"BTC price up in next 15 mins?",finalized,no,,1452,2025-12-15T17:30:00Z,2025-12-22T17:30:00Z
KXBTC15M-25DEC151215-15,KXBTC15M-25DEC151215,"BTC price up in next 15 mins?",finalized,no,,303,2025-12-15T17:15:00Z,2025-12-22T17:15:00Z
KXBTC15M-25DEC151200-00,KXBTC15M-25DEC151200,"BTC price up in next 15 mins?",finalized,yes,,134,2025-12-15T17:00:00Z,2025-12-22T17:00:00Z
KXBTC15M-25DEC151145-45,KXBTC15M-25DEC151145,"BTC price up in next 15 mins?",finalized,no,,227,2025-12-15T16:45:00Z,2025-12-22T16:45:00Z
KXBTC15M-25DEC151130-30,KXBTC15M-25DEC151130,"BTC price up in next 15 mins?",finalized,yes,,33,2025-12-15T16:30:00Z,2025-12-22T16:30:00Z
KXBTC15M-25DEC151115-15,KXBTC15M-25DEC151115,"BTC price up in next 15 mins?",finalized,no,,419,2025-12-15T16:15:00Z,2025-12-22T16:15:00Z
KXBTC15M-25DEC151100-00,KXBTC15M-25DEC151100,"BTC price up in next 15 mins?",finalized,no,,0,2025-12-15T16:00:00Z,2025-12-22T16:00:00Z
KXBTC15M-25DEC151045-45,KXBTC15M-25DEC151045,"BTC price up in next 15 mins?",finalized,yes,,236,2025-12-15T15:45:00Z,2025-12-22T15:45:00Z
KXBTC15M-25DEC151030-30,KXBTC15M-25DEC151030,"BTC price up in next 15 mins?",finalized,no,,26,2025-12-15T15:30:00Z,2025-12-22T15:30:00Z
KXBTC15M-25DEC151015-15,KXBTC15M-25DEC151015,"BTC price up in next 15 mins?",finalized,no,,0,2025-12-15T15:15:00Z,2025-12-22T15:15:00Z
KXBTC15M-25DEC151000-00,KXBTC15M-25DEC151000,"BTC price up in next 15 mins?",finalized,no,,0,2025-12-15T15:00:00Z,2025-12-22T15:00:00Z
KXBTC15M-25DEC150945-45,KXBTC15M-25DEC150945,"BTC price up in next 15 mins?",finalized,no,,3,2025-12-15T14:45:00Z,2025-12-22T14:45:00Z
